Step	,episode.rwd	,episode.q	,episode.loss	,epsilon	,time
17017	,1	,3.91178605147	,0.605965143302	0.982983	,264.487443924
17248	,3	,4.97225067951	,0.930476535258	0.982752	,267.961098909
17415	,1	,3.72746887617	,0.572699633	0.982585	,270.473908901
17625	,2	,4.3589591803	,0.607600358652	0.982375	,273.726861
17760	,0	,2.78397781216	,0.435136299783	0.98224	,275.806710005
18019	,4	,5.44276433438	,0.91598265962	0.981981	,279.746984005
18147	,0	,3.04653904028	,0.542646917467	0.981853	,281.736111879
18396	,3	,5.31716529652	,0.931325586593	0.981604	,285.521361113
18548	,1	,3.44070083834	,0.512640770596	0.981452	,288.048871994
18679	,0	,2.96806657221	,0.588527248824	0.981321	,290.069508076
18841	,1	,3.50743682776	,0.528520051408	0.981159	,292.718898058
19021	,1	,4.05313768703	,0.774686514293	0.980979	,295.626950979
19317	,4	,6.52632777207	,1.14806130637	0.980683	,300.231451988
19461	,0	,2.97648308333	,0.342510546256	0.980539	,302.585252047
19621	,1	,3.34145231731	,0.559420398637	0.980379	,304.91813302
19895	,3	,6.07111073751	,1.07061872344	0.980105	,308.798499107
20026	,0	,2.73652536608	,0.327095781552	0.979974	,310.68392396
20152	,0	,3.21545766946	,0.512537431734	0.979848	,312.587519884
20294	,0	,3.84718822315	,0.572844734222	0.979706	,314.557538033
20550	,3	,6.90718550235	,0.900081928163	0.97945	,318.196240902
20705	,1	,4.288764311	,0.575217779125	0.979295	,320.350306988
20842	,0	,3.45670699421	,0.342630736944	0.979158	,322.235949039
20971	,0	,3.75179988984	,0.61994584544	0.979029	,324.103480101
21112	,0	,3.93289941549	,0.558395119262	0.978888	,326.144141912
21261	,0	,3.96591724548	,0.496967088282	0.978739	,328.305331945
21519	,3	,6.80033197254	,0.869975816209	0.978481	,331.999757051
21875	,5	,9.41461390257	,1.25765898789	0.978125	,337.477456093
22060	,1	,4.90773854591	,0.683071736813	0.97794	,340.395452976
22214	,1	,4.09600507747	,0.512950337454	0.977786	,342.937733889
22355	,0	,3.7725455761	,0.527990702554	0.977645	,345.09483695
22487	,0	,3.61986027658	,0.435050312653	0.977513	,347.018688917
22645	,0	,3.93109586835	,0.404796111354	0.977355	,349.296339989
22778	,0	,3.45940786134	,0.388597605823	0.977222	,351.214319944
22922	,0	,3.97588103451	,0.58930118554	0.977078	,353.221338034
23111	,2	,5.18534469139	,0.758964989755	0.976889	,356.074918985
23266	,1	,4.13722225744	,0.467236935221	0.976734	,358.602344036
23441	,1	,4.60779437609	,0.606082807185	0.976559	,361.333965063
23727	,4	,7.507035858	,1.00942423051	0.976273	,365.43433094
23955	,2	,6.1465149764	,0.868990044128	0.976045	,368.898387909
24157	,2	,5.1050167717	,0.497747350116	0.975843	,371.97696209
24287	,0	,3.35209592804	,0.404104987354	0.975713	,373.946516037
24414	,0	,3.27593151946	,0.373373370605	0.975586	,376.064739943
24587	,1	,4.38319114782	,0.450801245222	0.975413	,378.923702955
24716	,0	,3.26559740677	,0.373807773937	0.975284	,381.154422045
24921	,2	,5.42828654125	,0.775497946338	0.975079	,384.360424995
25046	,0	,3.12858193554	,0.295915837926	0.974954	,386.243876934
25191	,0	,3.769094171	,0.435577147759	0.974809	,388.329263926
25354	,1	,4.237310078	,0.528143715063	0.974646	,390.681139946
25494	,0	,3.42806649022	,0.249424140245	0.974506	,392.97726202
25730	,2	,6.12293741945	,0.79249252193	0.97427	,396.388000011
25857	,0	,3.46926891617	,0.481295698892	0.974143	,398.418975115
26171	,4	,8.15222413652	,0.995288155721	0.973829	,403.269438028
26301	,0	,3.42591035832	,0.466147689925	0.973699	,405.227797031
26505	,2	,5.37078562938	,0.683304879044	0.973495	,408.340711117
26645	,0	,3.82733650506	,0.574360053271	0.973355	,410.506309986
26821	,1	,4.521483941	,0.528993810589	0.973179	,413.074244976
26998	,1	,4.71196525171	,0.5286234835	0.973002	,415.772556067
27133	,0	,3.61663093511	,0.527822984369	0.972867	,417.776401997
27269	,0	,3.73455595225	,0.512516811992	0.972731	,420.11224103
27443	,1	,4.55656223744	,0.559847605533	0.972557	,422.888170958
27694	,3	,6.93549641501	,0.883730836052	0.972306	,426.925038099
27822	,0	,3.3059405908	,0.465952219215	0.972178	,428.936358929
27966	,0	,4.14866911992	,0.681157151366	0.972034	,431.248500109
28137	,1	,4.6270100195	,0.636861705721	0.971863	,433.790831089
28424	,4	,7.48885040544	,0.901556201468	0.971576	,438.10276103
28617	,1	,4.82303311769	,0.529299694894	0.971383	,441.06515789
28764	,0	,3.85050008073	,0.466495425035	0.971236	,443.131640911
28942	,1	,4.48496173974	,0.45148419937	0.971058	,445.730000973
29129	,1	,5.01073741168	,0.668228656317	0.970871	,448.447555065
29289	,0	,4.08044651989	,0.466794812978	0.970711	,450.721296072
29423	,0	,3.58669042028	,0.512434066523	0.970577	,452.642059088
29631	,2	,5.68090055883	,0.775629523641	0.970369	,455.763047934
29810	,1	,4.84353174362	,0.714178549248	0.97019	,458.253238916
29971	,1	,4.62446646579	,0.728156333347	0.970029	,460.607844114
30166	,1	,6.34666588344	,0.622648268905	0.969834	,463.815443993
30300	,0	,4.62496088818	,0.373813655998	0.9697	,465.861457109
30480	,1	,5.97128591686	,0.513358720366	0.96952	,468.516757965
30734	,3	,9.14957235195	,0.901903049653	0.969266	,472.220318079
30919	,1	,6.67198576778	,0.791539985672	0.969081	,474.87836504
31187	,4	,9.03487970307	,0.700899310359	0.968813	,478.809909105
31322	,0	,4.84611087665	,0.466294112428	0.968678	,480.94636488
31494	,1	,5.81538014486	,0.436323951254	0.968506	,483.515252113
31638	,0	,4.81518645398	,0.342938660061	0.968362	,485.500281096
31822	,1	,6.75527676381	,0.806923881937	0.968178	,488.120296001
32039	,2	,7.33189466596	,0.545945982386	0.967961	,491.368314981
32330	,3	,10.5989671741	,1.19533059435	0.96767	,495.564860106
32492	,1	,5.37318784185	,0.358933189576	0.967508	,498.039499998
32693	,2	,6.91161689907	,0.699398063496	0.967307	,501.053318977
32856	,1	,5.62713350169	,0.405666319559	0.967144	,503.930104971
32995	,0	,5.08326031081	,0.605224779911	0.967005	,506.238776922
33202	,2	,7.3863570299	,0.699926386673	0.966798	,509.495383978
33392	,1	,6.87837962247	,0.745464639154	0.966608	,512.400656939
33621	,2	,8.24825393595	,0.855134885125	0.966379	,515.942298889
33848	,2	,7.98870783672	,0.746147855547	0.966152	,519.604362011
33994	,0	,5.32968879677	,0.620836751561	0.966006	,521.642960072
34249	,3	,9.02729449421	,0.946877081235	0.965751	,525.720551014
34377	,0	,4.50080493651	,0.389425474325	0.965623	,527.974212885
34634	,3	,9.56166179664	,1.22502768833	0.965366	,531.609925985
34850	,2	,7.49806525744	,0.683746628531	0.96515	,534.691422939
34995	,0	,5.39186467975	,0.698550521667	0.965005	,536.895899057
35141	,0	,5.42545168847	,0.574610224839	0.964859	,539.051609039
35343	,2	,6.94673404843	,0.545235665009	0.964657	,541.862596035
35501	,1	,5.59143823385	,0.590471447659	0.964499	,544.050415039
35734	,3	,7.64612969011	,0.592175731924	0.964266	,547.530093908
35878	,0	,5.28896996938	,0.574157568922	0.964122	,549.670041084
36045	,1	,5.82137276605	,0.497540701322	0.963955	,552.142422915
36188	,0	,5.25122941099	,0.558761415652	0.963812	,554.475537062
36327	,0	,4.69172381982	,0.342804675032	0.963673	,556.63945508
36532	,2	,7.01660346799	,0.637406455481	0.963468	,559.712754011
36676	,0	,5.17197243497	,0.497516129988	0.963324	,561.94015193
36866	,1	,6.47057218291	,0.48306884037	0.963134	,565.030997038
37004	,0	,4.8951949738	,0.482345887639	0.962996	,567.226151943
37142	,0	,4.89144677855	,0.543765716792	0.962858	,569.491569996
37282	,0	,5.13750461675	,0.559654051731	0.962718	,571.652960062
