Step	,episode.rwd	,episode.q	,episode.loss	,epsilon	,time
477627	,2	,48.292350851	,0.0793420274786	0.522373	,7463.658324
478056	,8	,120.38568458	,0.193394136641	0.521944	,7470.57062793
478279	,3	,67.3774674088	,0.101796787189	0.521721	,7474.162462
478679	,7	,134.986495197	,0.174912946241	0.521321	,7480.49306798
478894	,3	,67.8826191872	,0.108690153844	0.521106	,7483.81978488
479081	,2	,51.563839227	,0.069596887246	0.520919	,7486.57332611
479367	,4	,86.6270915419	,0.118377115479	0.520633	,7491.33589196
479641	,4	,87.2527378201	,0.115535433732	0.520359	,7495.81263709
479866	,3	,70.7188965678	,0.0980449776252	0.520134	,7499.54848695
480261	,7	,128.737781841	,0.187906635125	0.519739	,7505.77341104
480415	,1	,46.6584343687	,0.0660489432048	0.519585	,7508.02231097
480681	,4	,85.2233875394	,0.12952452332	0.519319	,7511.91701007
480871	,2	,51.469247438	,0.0884676969945	0.519129	,7515.21798611
481138	,4	,87.8070050254	,0.124601762509	0.518862	,7519.55409503
481318	,2	,46.2318786457	,0.0736773620301	0.518682	,7522.58702111
481504	,2	,51.7485340908	,0.0814134930042	0.518496	,7525.5410459
481926	,7	,126.579700366	,0.224463364648	0.518074	,7532.5894649
482189	,4	,87.1494574621	,0.123931265734	0.517811	,7536.967731
482448	,4	,79.9128425494	,0.112169271808	0.517552	,7541.31732392
482611	,1	,33.9593461454	,0.0634980152317	0.517389	,7543.89344096
482858	,4	,86.2187412456	,0.124896365895	0.517142	,7547.66185498
483014	,1	,37.834989436	,0.0679702668422	0.516986	,7549.98171997
483196	,2	,49.5234921128	,0.0931850346969	0.516804	,7552.932477
483388	,2	,52.830861792	,0.096173122256	0.516612	,7556.13191509
483623	,3	,64.0660465658	,0.0923797428986	0.516377	,7560.02325892
483813	,2	,53.8770835623	,0.0758188277832	0.516187	,7562.90749407
484034	,3	,68.1152795479	,0.0953568659534	0.515966	,7566.26354599
484223	,2	,55.7018539011	,0.0750789325612	0.515777	,7569.35325503
484433	,2	,53.7207843065	,0.0956506004441	0.515567	,7572.43454289
484650	,3	,69.1339097843	,0.0864594636587	0.51535	,7575.88108397
484863	,2	,47.073123388	,0.0946321148222	0.515137	,7579.2856319
485233	,7	,120.708543763	,0.15179012833	0.514767	,7585.37614799
485457	,3	,70.8150070906	,0.0919344875765	0.514543	,7589.25387406
485764	,5	,109.542095542	,0.136696646834	0.514236	,7594.57067704
485951	,2	,51.5888205394	,0.0995460309787	0.514049	,7597.53225493
486118	,1	,39.1756645814	,0.0673454093485	0.513882	,7600.26421189
486305	,2	,63.9165209457	,0.0727641712256	0.513695	,7603.13898993
486492	,2	,50.6121314317	,0.0906908013421	0.513508	,7606.2631309
486680	,2	,52.4031051397	,0.0799546459457	0.51332	,7609.31044888
487023	,5	,118.182886392	,0.133197337542	0.512977	,7615.00706506
487270	,3	,73.4945819899	,0.0948867313273	0.51273	,7619.2068429
487399	,0	,16.888675727	,0.0578348646522	0.512601	,7621.29547095
487749	,5	,113.839100875	,0.152538019189	0.512251	,7627.2216959
487984	,3	,71.1042049304	,0.10266514348	0.512016	,7631.28479695
488278	,5	,105.693414651	,0.123055988166	0.511722	,7635.93483806
488651	,6	,122.50281816	,0.152562201911	0.511349	,7642.38950801
488865	,3	,71.5950524509	,0.101440324572	0.511135	,7646.05370092
489166	,5	,104.753419921	,0.125436381448	0.510834	,7651.24225688
489351	,2	,51.5623288974	,0.0866867399527	0.510649	,7654.09401202
489555	,2	,54.3761372492	,0.0889416259924	0.510445	,7657.43459201
489767	,2	,56.6572664604	,0.0865308575012	0.510233	,7660.96410608
490092	,5	,105.748291276	,0.168495796035	0.509908	,7666.43948007
490308	,3	,68.0925694034	,0.088330843224	0.509692	,7669.94088888
490639	,5	,98.0198498145	,0.163851474012	0.509361	,7675.21543503
490880	,4	,76.0371475294	,0.133696761783	0.50912	,7678.7941649
491062	,2	,52.2447254062	,0.0874232353235	0.508938	,7681.45160103
491419	,6	,123.244124681	,0.157466878474	0.508581	,7686.69654703
491622	,2	,61.898799032	,0.101984855486	0.508378	,7690.03311992
492025	,7	,132.866062805	,0.190289036676	0.507975	,7696.50555491
492214	,2	,50.2140286118	,0.0754660758685	0.507786	,7699.68612409
492397	,2	,54.2022277936	,0.0765952348593	0.507603	,7702.75198793
492709	,5	,111.277090482	,0.164455541948	0.507291	,7707.75703406
492959	,4	,86.4674299881	,0.101361742818	0.507041	,7712.09100509
493218	,4	,84.8299123347	,0.114702229701	0.506782	,7716.50782394
493423	,2	,61.5571354777	,0.0925551983382	0.506577	,7720.01575089
493573	,1	,34.8420568109	,0.0700271132955	0.506427	,7722.59001803
493833	,4	,76.3514396697	,0.112098146405	0.506167	,7726.92913103
494138	,5	,104.029114127	,0.12819060756	0.505862	,7732.00667191
494398	,4	,79.2012777478	,0.113657244314	0.505602	,7736.18025708
494792	,7	,129.256066345	,0.170924584527	0.505208	,7742.39553499
495155	,6	,119.693342045	,0.155608913468	0.504845	,7747.58716488
495339	,2	,56.1827780753	,0.0779675018421	0.504661	,7750.57035303
495762	,9	,137.971437074	,0.208547636241	0.504238	,7757.16823912
496037	,5	,87.6873085052	,0.118494205308	0.503963	,7761.4095521
496285	,4	,85.1538885608	,0.118419525119	0.503715	,7765.35917211
496666	,7	,121.89100536	,0.153827868773	0.503334	,7771.45564008
496875	,2	,52.899984628	,0.0991925537091	0.503125	,7774.869277
497104	,3	,66.9241890162	,0.109674418156	0.502896	,7778.4625361
497405	,5	,92.429768987	,0.114455509378	0.502595	,7782.8273859
497581	,1	,42.2540413663	,0.0728525941668	0.502419	,7785.54789305
498058	,8	,155.955135942	,0.197184704786	0.501942	,7792.68207788
498218	,1	,37.9182004407	,0.071725116155	0.501782	,7794.96067691
498433	,3	,64.4076962993	,0.104292091506	0.501567	,7798.30041003
498669	,3	,65.732945174	,0.100473956656	0.501331	,7802.28474808
498903	,3	,67.8628669418	,0.10101035596	0.501097	,7806.07178402
499086	,2	,51.2542128414	,0.0754543994117	0.500914	,7808.97532797
499406	,5	,103.519471712	,0.180877145867	0.500594	,7814.06600595
499591	,2	,48.5920672491	,0.0742721794013	0.500409	,7817.14640188
499877	,4	,82.8892153651	,0.117749448167	0.500123	,7821.81043506
500124	,4	,80.8429939151	,0.14033496708	0.499876	,7825.93930888
500450	,6	,127.153291374	,0.166280046098	0.49955	,7831.26318598
500759	,5	,108.401074328	,0.145038640236	0.499241	,7836.15457892
501192	,8	,170.586636253	,0.227113306064	0.498808	,7843.18366003
501374	,2	,53.3872905821	,0.106519585461	0.498626	,7846.1524179
501678	,5	,100.031124279	,0.15332572379	0.498322	,7850.9664619
501955	,4	,81.7834722996	,0.145001576093	0.498045	,7855.06003809
502224	,4	,88.8462098837	,0.131780520805	0.497776	,7859.46276999
502454	,3	,73.1129241884	,0.129695525931	0.497546	,7863.08585095
502686	,3	,74.0529390126	,0.113956524656	0.497314	,7866.93519402
502841	,1	,39.880940713	,0.0824383174986	0.497159	,7869.29765105
503096	,4	,92.1663704067	,0.124758249309	0.496904	,7873.28450108
503308	,3	,75.4773386642	,0.0947487883168	0.496692	,7876.69697595
503494	,2	,55.0119837001	,0.0890299298189	0.496506	,7879.83851409
503756	,4	,88.2799740732	,0.120173764029	0.496244	,7884.20778108
504001	,4	,94.2765087709	,0.112608415453	0.495999	,7887.87107992
504154	,1	,42.0826663896	,0.0681632085689	0.495846	,7890.29583192
504412	,4	,89.9450332001	,0.128864820257	0.495588	,7894.46637511
504594	,2	,54.2769525349	,0.0803668090521	0.495406	,7897.32270789
504863	,4	,92.4421639219	,0.163550556477	0.495137	,7901.43593192
505111	,4	,91.5692940578	,0.124347919984	0.494889	,7905.23595309
505391	,4	,101.534278795	,0.127640287996	0.494609	,7909.6294241
505646	,4	,87.9786820859	,0.123836478469	0.494354	,7913.91739702
505902	,4	,92.1972410157	,0.111790524876	0.494098	,7918.27490997
506145	,4	,87.4492858127	,0.11722438463	0.493855	,7922.33704901
506403	,4	,88.8391580954	,0.121910471622	0.493597	,7926.75324512
506662	,4	,90.8822145984	,0.122717370126	0.493338	,7930.9681139
506935	,4	,93.3719336018	,0.126778531005	0.493065	,7935.21243405
507147	,3	,73.9822767377	,0.0974847715479	0.492853	,7938.6351881
507470	,5	,122.775867537	,0.145127768767	0.49253	,7944.0149169
507671	,2	,58.1385520995	,0.0962663907121	0.492329	,7947.41951895
507827	,1	,38.6673175618	,0.0657215191713	0.492173	,7949.96729803
508044	,3	,79.4963707849	,0.0949641282787	0.491956	,7953.64040303
508386	,6	,139.799138241	,0.16232450182	0.491614	,7959.12512207
508616	,3	,76.9985530898	,0.108650222246	0.491384	,7962.6245811
508943	,5	,118.528690487	,0.157612219613	0.491057	,7967.37609196
509321	,7	,159.101855315	,0.151319021348	0.490679	,7973.19897604
509655	,6	,133.458336912	,0.145993518636	0.490345	,7978.00647092
509869	,3	,71.5349075645	,0.122273176858	0.490131	,7981.28214502
510081	,3	,79.0886237249	,0.112742564161	0.489919	,7984.77246809
510263	,2	,61.3914794996	,0.116250899147	0.489737	,7987.63922405
510469	,2	,61.329513073	,0.110466085513	0.489531	,7990.79122305
510651	,2	,63.5279064029	,0.0970966782697	0.489349	,7993.38967299
510834	,2	,64.6824545041	,0.0976751279522	0.489166	,7996.18895507
511153	,5	,131.090358138	,0.187006976477	0.488847	,8001.33231711
511395	,4	,101.514455117	,0.126001447956	0.488605	,8005.19277596
511682	,5	,121.481778696	,0.149546037632	0.488318	,8009.67844105
511925	,4	,99.8600782827	,0.145256225056	0.488075	,8013.48843408
512253	,6	,130.348667793	,0.177425482885	0.487747	,8018.99666691
512465	,3	,81.5811292827	,0.109541478319	0.487535	,8022.73502898
512759	,4	,116.979793817	,0.150497115261	0.487241	,8027.42610407
512971	,3	,79.6666721329	,0.109701100999	0.487029	,8030.789047
513095	,0	,27.6771707088	,0.0611257245037	0.486905	,8032.61078095
513408	,5	,124.29207617	,0.16512932803	0.486592	,8037.33206892
513716	,5	,124.163122416	,0.167583196526	0.486284	,8041.69017506
513931	,3	,81.4200826585	,0.102118275769	0.486069	,8044.98578906
514259	,5	,121.204734914	,0.177829574339	0.485741	,8050.061342
514440	,2	,64.2530441135	,0.100201298468	0.48556	,8052.77020693
514720	,4	,114.93260441	,0.156541240147	0.48528	,8056.88096595
515011	,5	,123.176669694	,0.157679904325	0.484989	,8061.42034197
515348	,6	,145.237545013	,0.178336956458	0.484652	,8066.49111891
515596	,4	,100.696383826	,0.122062509385	0.484404	,8070.50943494
515826	,3	,82.4276562482	,0.113823208019	0.484174	,8074.45401096
516207	,6	,162.035254844	,0.176698909534	0.483793	,8080.90278792
516420	,3	,85.548711732	,0.110907591268	0.48358	,8083.90398312
516570	,1	,44.3914901689	,0.0812197152991	0.48343	,8086.14539695
516755	,2	,60.1011365578	,0.0891114257829	0.483245	,8088.86062598
517063	,5	,119.84874811	,0.157207892546	0.482937	,8093.54649901
517218	,1	,45.3062236905	,0.0737124792868	0.482782	,8095.72670007
517431	,3	,80.7209813148	,0.104045825712	0.482569	,8099.14699411
517615	,2	,58.2960824519	,0.0964250361721	0.482385	,8101.96653295
517740	,0	,25.9871152416	,0.0672909340283	0.48226	,8103.929533
517966	,3	,77.5576255918	,0.109637570575	0.482034	,8107.31316304
518180	,3	,86.5001014099	,0.105819815464	0.48182	,8110.27567005
518366	,2	,59.6948381439	,0.0865348567095	0.481634	,8112.81609011
518625	,4	,105.176644541	,0.132807389709	0.481375	,8116.48686194
518909	,5	,106.798286632	,0.149919345771	0.481091	,8120.91394591
519108	,2	,60.3119998947	,0.100986450074	0.480892	,8123.99531507
519351	,4	,92.9951601997	,0.131804379685	0.480649	,8127.88918495
519601	,4	,100.914683774	,0.133699670885	0.480399	,8131.95838094
519870	,4	,101.552049764	,0.133080700783	0.48013	,8136.28371096
520054	,2	,63.7850517258	,0.0967089718979	0.479946	,8139.30257201
520238	,2	,64.2439351976	,0.103930559766	0.479762	,8142.13608503
520544	,5	,124.891262032	,0.192978949024	0.479456	,8146.99076605
520726	,2	,65.5612138286	,0.112632981734	0.479274	,8149.54566503
520956	,3	,91.7734463289	,0.14323112346	0.479044	,8152.947644
521185	,3	,85.9596104622	,0.138033896277	0.478815	,8156.28081608
521399	,3	,87.2557164729	,0.108912951902	0.478601	,8159.39915109
521734	,6	,131.527276561	,0.199947313507	0.478266	,8164.61296201
521946	,3	,81.3641349301	,0.118409816845	0.478054	,8167.78267193
522223	,4	,103.905763455	,0.180714073955	0.477777	,8172.01613212
522374	,1	,45.087933898	,0.0849189637738	0.477626	,8174.40812111
522698	,5	,125.988311931	,0.201060859254	0.477302	,8179.5131979
522942	,4	,100.342396535	,0.128438910979	0.477058	,8183.48101211
523249	,5	,125.777601227	,0.171989242379	0.476751	,8188.37896299
523664	,8	,176.017376713	,0.227919555749	0.476336	,8194.91966701
523944	,5	,112.531829998	,0.189751668891	0.476056	,8199.37496901
524097	,1	,40.9994614646	,0.0825451575292	0.475903	,8201.90866208
524309	,3	,82.4004942775	,0.121917216791	0.475691	,8205.36371088
524554	,4	,95.796923995	,0.130031114641	0.475446	,8209.13490701
524885	,5	,134.321397707	,0.188218899842	0.475115	,8214.16798997
525131	,4	,101.997041136	,0.131768019739	0.474869	,8217.93589902
525424	,4	,105.234440267	,0.175804698076	0.474576	,8222.43380189
525677	,3	,88.3643081933	,0.136725096498	0.474323	,8226.55813003
526045	,7	,153.578427322	,0.205002557355	0.473955	,8232.76265693
526227	,2	,63.3009391576	,0.0886291163333	0.473773	,8235.84541392
526556	,5	,146.238750093	,0.188883356132	0.473444	,8241.32520294
526861	,6	,121.352560379	,0.188632207195	0.473139	,8246.43073511
527071	,3	,81.6706140563	,0.120149491915	0.472929	,8249.83397198
527320	,3	,89.5012714118	,0.139478805657	0.47268	,8253.69944
527503	,2	,59.7823238745	,0.103717072663	0.472497	,8256.70229411
527730	,3	,80.6932978332	,0.148935021956	0.47227	,8260.40196204
527928	,2	,66.3345907256	,0.119552606091	0.472072	,8263.80969906
528159	,3	,82.8558393717	,0.127669278387	0.471841	,8267.55255103
528472	,5	,125.454928823	,0.180972010399	0.471528	,8272.48601294
528681	,3	,76.7782690227	,0.107233846218	0.471319	,8275.54203892
528894	,3	,79.9892908633	,0.127213466083	0.471106	,8278.84699202
529125	,3	,79.9612760246	,0.12346128808	0.470875	,8282.49139595
529399	,4	,103.998122111	,0.133694832293	0.470601	,8286.77098298
529576	,1	,53.2885157317	,0.0897826383589	0.470424	,8289.49944901
529836	,4	,97.768113032	,0.156405526308	0.470164	,8293.66880107
530066	,3	,76.7211196497	,0.118682114087	0.469934	,8297.34355497
530439	,6	,155.825090282	,0.248313380966	0.469561	,8303.16532898
530734	,5	,124.641427174	,0.195102063939	0.469266	,8307.89424992
530916	,2	,64.8483710214	,0.110649294395	0.469084	,8310.60589194
531224	,5	,127.90806482	,0.194025279357	0.468776	,8315.38213205
531467	,3	,91.112982586	,0.159201926188	0.468533	,8319.09979105
531681	,3	,84.0532302782	,0.149166255389	0.468319	,8322.74569011
531932	,3	,96.2201426923	,0.165075293909	0.468068	,8326.98158693
532302	,7	,152.270001963	,0.230327877573	0.467698	,8332.78138304
532575	,5	,120.873262942	,0.187542002925	0.467425	,8336.835186
532889	,5	,123.560680971	,0.191575417637	0.467111	,8341.35571194
533362	,9	,199.526707172	,0.3020623021	0.466638	,8349.34953499
533668	,5	,132.775034107	,0.199583096466	0.466332	,8353.90610504
533865	,2	,74.4996658862	,0.127440617842	0.466135	,8357.02897811
534127	,4	,106.111693785	,0.16638622131	0.465873	,8360.8237679
534311	,2	,65.1061359197	,0.130692452476	0.465689	,8363.891294
534672	,6	,143.737950176	,0.235162805489	0.465328	,8369.19621396
535047	,7	,159.259411097	,0.234139825723	0.464953	,8375.03842306
535304	,4	,109.17276115	,0.190415280063	0.464696	,8378.9945879
535613	,5	,124.764137872	,0.185509717834	0.464387	,8383.65183496
536102	,9	,202.920466483	,0.281473880648	0.463898	,8391.17693496
536286	,2	,65.3740141317	,0.115230590105	0.463714	,8394.00230503
536534	,3	,85.2830849588	,0.171158451973	0.463466	,8397.73200297
536861	,6	,128.523379929	,0.227306175788	0.463139	,8402.48136497
537222	,7	,157.163736694	,0.239100684186	0.462778	,8408.15265489
537434	,3	,80.5274888873	,0.131986153443	0.462566	,8411.63218689
537647	,3	,83.6001341566	,0.13005542149	0.462353	,8414.78489304
538045	,7	,172.89681495	,0.262808633932	0.461955	,8421.22873902
538228	,2	,63.8652301207	,0.104535492079	0.461772	,8424.20541406
538590	,7	,135.404476956	,0.237327773313	0.46141	,8430.13289809
538886	,4	,117.571860261	,0.18606799507	0.461114	,8435.2409451
539099	,3	,83.3096782342	,0.118315077729	0.460901	,8438.7449739
539309	,3	,83.572624892	,0.132083841236	0.460691	,8442.215137
539661	,7	,149.822279111	,0.197947468208	0.460339	,8447.74319792
539889	,3	,84.767418839	,0.13175824465	0.460111	,8451.45530105
540059	,1	,53.7038115188	,0.113078308626	0.459941	,8454.44149494
540311	,3	,92.71583426	,0.177181699677	0.459689	,8458.49802494
540558	,3	,97.1661626324	,0.180372740273	0.459442	,8462.178581
540868	,5	,131.120895907	,0.209869345432	0.459132	,8466.72166491
541182	,5	,138.530645266	,0.200224709159	0.458818	,8471.7143259
541660	,9	,213.979269467	,0.330499913522	0.45834	,8479.04150701
541889	,3	,83.0970001072	,0.154030888451	0.458111	,8482.46919703
542136	,3	,95.5227500498	,0.15001928345	0.457864	,8486.20341396
542398	,3	,104.744555257	,0.175940016357	0.457602	,8490.41124201
542773	,8	,160.979108527	,0.252062231419	0.457227	,8496.37126207
542970	,2	,70.5929701477	,0.129458373638	0.45703	,8499.48985195
543440	,9	,211.279952116	,0.293489172458	0.45656	,8507.01387811
543807	,6	,160.623705164	,0.247963489877	0.456193	,8513.03380489
544179	,6	,161.440344088	,0.223802222703	0.455821	,8519.07702088
544491	,5	,124.342561908	,0.210761772512	0.455509	,8524.07994103
544791	,4	,121.050399616	,0.203360864278	0.455209	,8528.83006001
545115	,5	,132.118813112	,0.215169108858	0.454885	,8533.89552188
545447	,6	,142.752703853	,0.222991119452	0.454553	,8539.11550093
545757	,5	,122.274904191	,0.201077656202	0.454243	,8544.07199192
546154	,6	,156.104036406	,0.264634180341	0.453846	,8550.53263903
546452	,5	,125.945850044	,0.20673016728	0.453548	,8555.27642488
546759	,5	,132.274679311	,0.188745260566	0.453241	,8560.17551303
546975	,3	,85.5410793275	,0.128593382484	0.453025	,8563.72321391
547342	,7	,163.519031487	,0.240526300826	0.452658	,8568.99640298
547718	,7	,152.516768418	,0.258389465365	0.452282	,8574.57168007
548112	,7	,160.1676539	,0.263132046515	0.451888	,8580.27270293
548415	,4	,118.59977217	,0.179020398871	0.451585	,8585.21904707
548765	,7	,142.056439567	,0.225743918592	0.451235	,8590.9957459
549066	,5	,128.714906275	,0.207101149106	0.450934	,8595.68943191
549397	,5	,133.395006701	,0.212808309978	0.450603	,8600.47731996
549741	,6	,144.165306419	,0.230835054361	0.450259	,8605.57125807
550033	,5	,124.686003868	,0.179332563035	0.449967	,8610.16593194
550311	,5	,126.404051967	,0.227348748522	0.449689	,8614.50843501
550718	,7	,181.586459287	,0.283239344644	0.449282	,8620.88867307
550979	,4	,111.164202228	,0.167821856434	0.449021	,8624.93544197
551441	,9	,215.582192712	,0.292479884542	0.448559	,8632.41398501
551798	,6	,154.853715472	,0.250040180479	0.448202	,8637.87123489
552351	,12	,227.179600202	,0.376203709449	0.447649	,8646.22522306
552608	,4	,108.566827983	,0.167627292874	0.447392	,8650.48500609
553096	,9	,210.56826479	,0.321674843392	0.446904	,8657.66573501
553649	,11	,226.600963861	,0.359616142654	0.446351	,8665.88821101
553985	,6	,149.668559112	,0.230620258735	0.446015	,8671.04820108
554350	,7	,167.688589275	,0.247033310894	0.44565	,8676.39805293
554715	,6	,169.423014544	,0.257294427975	0.445285	,8681.69380999
554927	,3	,88.1781883612	,0.14634855483	0.445073	,8684.74695706
555328	,7	,163.337012522	,0.286163493736	0.444672	,8690.57849407
555672	,6	,146.473238736	,0.221688060148	0.444328	,8695.88510108
556308	,15	,271.151771463	,0.445376545234	0.443692	,8705.13571811
556565	,4	,99.6174739003	,0.18061956064	0.443435	,8709.09235692
556937	,6	,154.03119697	,0.232733765813	0.443063	,8714.97115493
557168	,3	,94.5979142934	,0.150392253156	0.442832	,8718.6242609
557380	,3	,87.0970505849	,0.143411861623	0.44262	,8722.06142902
557696	,5	,130.120229758	,0.204629656109	0.442304	,8726.95529103
558010	,5	,128.991905868	,0.210074669201	0.44199	,8731.67539406
558240	,3	,90.2682011873	,0.146604843678	0.44176	,8734.99435902
558617	,6	,161.944840237	,0.260682120621	0.441383	,8740.84927511
558866	,3	,103.198476009	,0.168088923005	0.441134	,8744.83385205
559286	,8	,186.231538549	,0.274918018236	0.440714	,8751.09730196
559582	,5	,128.61108353	,0.195792831692	0.440418	,8755.74637508
559825	,4	,102.124454491	,0.162543062557	0.440175	,8759.22473788
560128	,5	,121.222334392	,0.203710093141	0.439872	,8763.5102129
560502	,6	,167.567141362	,0.274358689887	0.439498	,8768.9473021
561174	,13	,328.212347463	,0.503340505296	0.438826	,8779.23508
561406	,3	,98.0004138127	,0.169107946291	0.438594	,8782.84009194
561665	,4	,107.488178886	,0.1869877563	0.438335	,8787.07300591
561924	,4	,112.414558709	,0.167829471407	0.438076	,8791.28391099
562279	,6	,156.625538714	,0.26385522366	0.437721	,8796.97354603
562494	,3	,86.6336388066	,0.164781542611	0.437506	,8800.36703992
562802	,5	,135.422536746	,0.224816314774	0.437198	,8804.99336195
563100	,5	,125.692937642	,0.207962627639	0.4369	,8809.7163651
563328	,3	,89.5002855659	,0.160652397877	0.436672	,8813.23017788
563571	,4	,103.056140725	,0.154096178871	0.436429	,8817.03022408
563866	,5	,133.631654426	,0.178572361052	0.436134	,8821.7408731
564141	,4	,116.294541597	,0.185976627079	0.435859	,8826.3016119
564731	,13	,247.985052235	,0.408918801579	0.435269	,8835.15693212
565217	,10	,208.750074752	,0.326994217237	0.434783	,8842.50833607
565627	,7	,181.968001008	,0.30269185119	0.434373	,8849.11428189
565956	,6	,138.378825881	,0.212116421571	0.434044	,8854.2554481
566467	,11	,234.249336287	,0.330787405517	0.433533	,8862.21856999
566811	,6	,151.012233891	,0.22642738375	0.433189	,8867.60700393
567153	,6	,135.624877468	,0.236436595922	0.432847	,8872.63928699
567450	,5	,134.190737665	,0.218265829215	0.43255	,8877.20585299
567731	,5	,122.322342008	,0.188930435899	0.432269	,8881.5854001
568122	,7	,167.429659002	,0.285632986961	0.431878	,8887.72188997
568382	,4	,112.837673813	,0.176112437301	0.431618	,8891.48457003
568659	,4	,115.51671052	,0.179413431222	0.431341	,8895.62523198
568904	,4	,110.432895482	,0.150579581619	0.431096	,8899.45176411
569412	,10	,239.711891487	,0.358328858951	0.430588	,8907.5418601
569840	,9	,186.62549267	,0.287989528988	0.43016	,8914.36628103
570152	,5	,138.112736553	,0.227916995929	0.429848	,8919.26658297
570581	,8	,186.913049951	,0.283927648947	0.429419	,8925.56148911
570909	,5	,145.681602478	,0.210676924638	0.429091	,8930.49318004
571109	,2	,82.3593892157	,0.127675727446	0.428891	,8933.70520997
571462	,6	,158.232212394	,0.242455409832	0.428538	,8939.41842389
571891	,8	,203.604048982	,0.274417893277	0.428109	,8946.27836704
572375	,8	,209.834237985	,0.333673010347	0.427625	,8953.82058191
572651	,4	,123.305994079	,0.168184310365	0.427349	,8957.9399581
573045	,7	,182.42977789	,0.254216382898	0.426955	,8964.039891
573485	,9	,193.693376973	,0.308668661986	0.426515	,8970.32498002
573713	,3	,100.479158893	,0.16472900215	0.426287	,8973.76630211
573993	,4	,118.054369166	,0.184017898639	0.426007	,8977.85925198
574239	,3	,100.548743814	,0.164365691329	0.425761	,8981.44022799
574605	,7	,160.806286111	,0.238974668049	0.425395	,8986.90356994
574932	,5	,142.058237098	,0.199612554861	0.425068	,8991.89941502
575325	,7	,182.958141461	,0.280908999041	0.424675	,8997.779917
575600	,4	,124.620221615	,0.187818967941	0.4244	,9001.87208009
575862	,4	,121.999119207	,0.169778582902	0.424138	,9005.57902002
576319	,9	,232.37978445	,0.297712182175	0.423681	,9012.12774801
576607	,5	,130.402021073	,0.207472209746	0.423393	,9016.39067507
576934	,6	,142.513981484	,0.211602739364	0.423066	,9021.26132798
577241	,5	,139.793048456	,0.198649508238	0.422759	,9026.08538198
577625	,7	,166.139655061	,0.233117890013	0.422375	,9031.91414499
578025	,8	,196.791668117	,0.258024893708	0.421975	,9038.01473999
578462	,9	,214.644509137	,0.308810469985	0.421538	,9044.75378394
578902	,8	,194.889502361	,0.29110936194	0.421098	,9051.68721795
579333	,7	,189.252050646	,0.276875239673	0.420667	,9058.37384892
579687	,6	,162.704958685	,0.232283599224	0.420313	,9063.85320592
580058	,7	,183.154552788	,0.237661154017	0.419942	,9069.37726998
580386	,5	,147.369910173	,0.216119358542	0.419614	,9073.96679997
580612	,3	,96.8994288594	,0.163411877293	0.419388	,9077.16576099
580824	,3	,91.1387507617	,0.140344378873	0.419176	,9080.25501704
581341	,10	,254.043097697	,0.331197801504	0.418659	,9088.21717811
581761	,9	,195.23721917	,0.266930077392	0.418239	,9094.65992689
581943	,2	,64.9585429057	,0.127081862032	0.418057	,9097.37102795
582402	,9	,224.104291573	,0.358933646821	0.417598	,9104.34701204
582796	,7	,166.549385767	,0.245176831588	0.417204	,9110.11210799
583007	,3	,89.4893478081	,0.136123413555	0.416993	,9113.09636688
583271	,4	,117.242483497	,0.158542961726	0.416729	,9117.28617597
583559	,5	,126.210220858	,0.197213830506	0.416441	,9121.72657108
583803	,4	,102.298501976	,0.15757683765	0.416197	,9125.28599596
584090	,5	,122.056622781	,0.17613357769	0.41591	,9129.84369493
584411	,5	,141.879012272	,0.221051465254	0.415589	,9134.55643702
584766	,6	,148.598858938	,0.235608035349	0.415234	,9139.61811304
585413	,13	,303.934018649	,0.418916420138	0.414587	,9149.49144411
585642	,3	,101.206041813	,0.149591084693	0.414358	,9153.070328
586073	,8	,185.009173974	,0.272467054863	0.413927	,9159.75162601
586399	,5	,148.269604713	,0.21683180012	0.413601	,9164.64924502
586661	,4	,113.758902989	,0.171388700837	0.413339	,9168.61987901
586875	,3	,93.4876639396	,0.130446910101	0.413125	,9171.86912894
587305	,8	,190.663478673	,0.286582249282	0.412695	,9178.38158488
587794	,10	,249.529274374	,0.331658052302	0.412206	,9185.69114494
588191	,8	,186.653460771	,0.256600657725	0.411809	,9191.40382004
588504	,5	,129.377017133	,0.22100762638	0.411496	,9196.13060188
588703	,2	,75.4793231562	,0.127844857408	0.411297	,9199.29295206
588912	,3	,87.3028237373	,0.142647331661	0.411088	,9202.2395649
589524	,13	,301.988525003	,0.399903980549	0.410476	,9211.19333506
589821	,5	,133.491875902	,0.188919064029	0.410179	,9215.69252396
590066	,4	,103.334149852	,0.163591579039	0.409934	,9219.51703191
590428	,7	,168.747455403	,0.227495538857	0.409572	,9225.2710011
590809	,7	,177.289733648	,0.249572275759	0.409191	,9230.63595295
591396	,12	,295.65057601	,0.358020025604	0.408604	,9239.62873411
591777	,7	,169.12945766	,0.24079923809	0.408223	,9245.5383389
592246	,10	,230.950823173	,0.288530005368	0.407754	,9252.8866291
592631	,7	,177.582003415	,0.242654459726	0.407369	,9258.71942306
592859	,3	,98.6171066016	,0.137173869443	0.407141	,9261.91665196
593071	,3	,89.7983490527	,0.135109824507	0.406929	,9264.96553588
593475	,8	,185.238970071	,0.252004654787	0.406525	,9270.74757004
593755	,4	,114.379234783	,0.171273311244	0.406245	,9275.05761909
594247	,9	,235.430337608	,0.326718714059	0.405753	,9282.45296907
